,title,url
0,Modric 'has asked Real Madrid board to let him leave',https://www.tribalfootball.com/articles/modric-has-asked-real-madrid-board-to-let-him-leave-4472140
1,Man Utd board make swift Ten Hag call,https://www.tribalfootball.com/articles/man-utd-board-make-swift-ten-hag-call-4472224
2,Arsenal Saka boost ahead of Man City...,https://www.tribalfootball.com/articles/arsenal-saka-boost-ahead-of-man-city-showdown-4472278
3,Scholes: I was excited seeing Man Utd lose,https://www.tribalfootball.com/articles/scholes-i-was-excited-seeing-man-utd-lose-4472192
4,Solskjaer joins Rooney at DC United,https://www.tribalfootball.com/articles/solskjaer-joins-rooney-at-dc-united-4472267
5,Ratcliffe in Mitchell talks about Man Utd...,https://www.tribalfootball.com/articles/ratcliffe-in-mitchell-talks-about-man-utd-role-4472269
6,Ex-Chelsea boss Lampard admits Havertz doubts,https://www.tribalfootball.com/articles/ex-chelsea-boss-lampard-admits-havertz-doubts-4472277
7,Chelsea captain Reece James banned and fined,https://www.tribalfootball.com/articles/chelsea-captain-reece-james-banned-and-fined-4472235
8,Barcelona midfielder Gavi: De Jong was...,https://www.tribalfootball.com/articles/barcelona-midfielder-gavi-de-jong-was-expecting-man-utd-move-4472299
9,West Ham attacker Antonio: Liverpool? I was...,https://www.tribalfootball.com/articles/west-ham-attacker-antonio-liverpool-i-was-left-with-big-pie-in-the-face-4472254
